Datapoint,TrueCost,PredictedCost,CostDifference,PredictedTour,OptimalTour
23,100.10000085830688,148.6999969482422,48.5999960899353,"(2, 1) -> (8, 2) -> (10, 3) -> (5, 4) -> (1, 5) -> (3, 6) -> (9, 7) -> (7, 8) -> (6, 9) -> (4, 10)","(6, 1) -> (9, 2) -> (2, 3) -> (8, 4) -> (7, 5) -> (5, 6) -> (4, 7) -> (3, 8) -> (10, 9) -> (1, 10)"
41,106.49999952316284,144.99998474121094,38.499985218048096,"(2, 1) -> (8, 2) -> (10, 3) -> (5, 4) -> (1, 5) -> (3, 6) -> (9, 7) -> (7, 8) -> (6, 9) -> (4, 10)","(6, 1) -> (1, 2) -> (10, 3) -> (7, 4) -> (9, 5) -> (5, 6) -> (2, 7) -> (4, 8) -> (3, 9) -> (8, 10)"
43,92.59999942779542,143.69998168945312,51.0999822616577,"(2, 1) -> (8, 2) -> (10, 3) -> (5, 4) -> (1, 5) -> (3, 6) -> (9, 7) -> (7, 8) -> (6, 9) -> (4, 10)","(9, 1) -> (5, 2) -> (2, 3) -> (3, 4) -> (7, 5) -> (8, 6) -> (6, 7) -> (10, 8) -> (4, 9) -> (1, 10)"
11,106.4000015258789,148.79998779296875,42.399986267089844,"(2, 1) -> (8, 2) -> (10, 3) -> (5, 4) -> (1, 5) -> (3, 6) -> (9, 7) -> (7, 8) -> (6, 9) -> (4, 10)","(10, 1) -> (8, 2) -> (1, 3) -> (3, 4) -> (4, 5) -> (7, 6) -> (9, 7) -> (6, 8) -> (5, 9) -> (2, 10)"
36,106.19999980926514,158.8999786376953,52.699978828430176,"(2, 1) -> (8, 2) -> (10, 3) -> (5, 4) -> (1, 5) -> (3, 6) -> (9, 7) -> (7, 8) -> (6, 9) -> (4, 10)","(3, 1) -> (7, 2) -> (10, 3) -> (6, 4) -> (4, 5) -> (9, 6) -> (5, 7) -> (1, 8) -> (8, 9) -> (2, 10)"
39,100.39999866485596,131.39999389648438,30.999995231628418,"(2, 1) -> (8, 2) -> (10, 3) -> (5, 4) -> (1, 5) -> (3, 6) -> (9, 7) -> (7, 8) -> (6, 9) -> (4, 10)","(9, 1) -> (3, 2) -> (1, 3) -> (5, 4) -> (7, 5) -> (4, 6) -> (2, 7) -> (6, 8) -> (10, 9) -> (8, 10)"
7,103.30000066757202,127.4000015258789,24.100000858306885,"(2, 1) -> (8, 2) -> (10, 3) -> (5, 4) -> (1, 5) -> (3, 6) -> (9, 7) -> (7, 8) -> (6, 9) -> (4, 10)","(6, 1) -> (9, 2) -> (1, 3) -> (7, 4) -> (10, 5) -> (4, 6) -> (2, 7) -> (5, 8) -> (8, 9) -> (3, 10)"
25,108.7000002861023,131.99998474121094,23.299984455108643,"(2, 1) -> (8, 2) -> (10, 3) -> (5, 4) -> (1, 5) -> (3, 6) -> (9, 7) -> (7, 8) -> (6, 9) -> (4, 10)","(7, 1) -> (3, 2) -> (8, 3) -> (5, 4) -> (6, 5) -> (2, 6) -> (4, 7) -> (9, 8) -> (10, 9) -> (1, 10)"
34,91.60000085830688,122.40000915527344,30.800008296966553,"(2, 1) -> (8, 2) -> (10, 3) -> (5, 4) -> (1, 5) -> (3, 6) -> (9, 7) -> (7, 8) -> (6, 9) -> (4, 10)","(5, 1) -> (8, 2) -> (6, 3) -> (9, 4) -> (10, 5) -> (1, 6) -> (3, 7) -> (4, 8) -> (7, 9) -> (2, 10)"
50,96.100001335144,128.89999389648438,32.799992561340375,"(2, 1) -> (8, 2) -> (10, 3) -> (5, 4) -> (1, 5) -> (3, 6) -> (9, 7) -> (7, 8) -> (6, 9) -> (4, 10)","(5, 1) -> (7, 2) -> (10, 3) -> (6, 4) -> (9, 5) -> (2, 6) -> (1, 7) -> (4, 8) -> (3, 9) -> (8, 10)"
2,98.59999990463257,141.10000610351562,42.50000619888306,"(2, 1) -> (8, 2) -> (10, 3) -> (5, 4) -> (1, 5) -> (3, 6) -> (9, 7) -> (7, 8) -> (6, 9) -> (4, 10)","(6, 1) -> (4, 2) -> (2, 3) -> (10, 4) -> (3, 5) -> (5, 6) -> (8, 7) -> (9, 8) -> (1, 9) -> (7, 10)"
10,96.69999933242798,147.79998779296875,51.09998846054077,"(2, 1) -> (8, 2) -> (10, 3) -> (5, 4) -> (1, 5) -> (3, 6) -> (9, 7) -> (7, 8) -> (6, 9) -> (4, 10)","(6, 1) -> (5, 2) -> (4, 3) -> (7, 4) -> (9, 5) -> (10, 6) -> (8, 7) -> (1, 8) -> (3, 9) -> (2, 10)"
18,93.20000076293945,134.3000030517578,41.10000228881836,"(2, 1) -> (8, 2) -> (10, 3) -> (5, 4) -> (1, 5) -> (3, 6) -> (9, 7) -> (7, 8) -> (6, 9) -> (4, 10)","(6, 1) -> (5, 2) -> (7, 3) -> (1, 4) -> (9, 5) -> (2, 6) -> (4, 7) -> (3, 8) -> (10, 9) -> (8, 10)"
26,92.00000047683716,136.10000610351562,44.10000562667847,"(2, 1) -> (8, 2) -> (10, 3) -> (5, 4) -> (1, 5) -> (3, 6) -> (9, 7) -> (7, 8) -> (6, 9) -> (4, 10)","(6, 1) -> (5, 2) -> (8, 3) -> (9, 4) -> (3, 5) -> (10, 6) -> (1, 7) -> (7, 8) -> (2, 9) -> (4, 10)"
27,102.69999933242798,127.5,24.80000066757202,"(2, 1) -> (8, 2) -> (10, 3) -> (5, 4) -> (1, 5) -> (3, 6) -> (9, 7) -> (7, 8) -> (6, 9) -> (4, 10)","(10, 1) -> (8, 2) -> (7, 3) -> (6, 4) -> (2, 5) -> (3, 6) -> (9, 7) -> (4, 8) -> (1, 9) -> (5, 10)"
42,94.30000066757202,156.3000030517578,62.00000238418579,"(2, 1) -> (8, 2) -> (10, 3) -> (5, 4) -> (1, 5) -> (3, 6) -> (9, 7) -> (7, 8) -> (6, 9) -> (4, 10)","(8, 1) -> (5, 2) -> (7, 3) -> (3, 4) -> (1, 5) -> (10, 6) -> (6, 7) -> (4, 8) -> (2, 9) -> (9, 10)"
16,101.50000143051149,145.10000610351562,43.600004673004136,"(2, 1) -> (8, 2) -> (10, 3) -> (5, 4) -> (1, 5) -> (3, 6) -> (9, 7) -> (7, 8) -> (6, 9) -> (4, 10)","(10, 1) -> (7, 2) -> (8, 3) -> (5, 4) -> (6, 5) -> (3, 6) -> (1, 7) -> (2, 8) -> (4, 9) -> (9, 10)"
20,104.80000114440918,162.70001220703125,57.90001106262207,"(2, 1) -> (8, 2) -> (10, 3) -> (5, 4) -> (1, 5) -> (3, 6) -> (9, 7) -> (7, 8) -> (6, 9) -> (4, 10)","(4, 1) -> (1, 2) -> (8, 3) -> (3, 4) -> (10, 5) -> (5, 6) -> (2, 7) -> (6, 8) -> (7, 9) -> (9, 10)"
19,99.80000019073485,150.6999969482422,50.89999675750734,"(2, 1) -> (8, 2) -> (10, 3) -> (5, 4) -> (1, 5) -> (3, 6) -> (9, 7) -> (7, 8) -> (6, 9) -> (4, 10)","(7, 1) -> (5, 2) -> (4, 3) -> (2, 4) -> (1, 5) -> (8, 6) -> (9, 7) -> (3, 8) -> (10, 9) -> (6, 10)"
49,90.70000028610228,144.0,53.29999971389772,"(2, 1) -> (8, 2) -> (10, 3) -> (5, 4) -> (1, 5) -> (3, 6) -> (9, 7) -> (7, 8) -> (6, 9) -> (4, 10)","(5, 1) -> (7, 2) -> (6, 3) -> (3, 4) -> (8, 5) -> (2, 6) -> (9, 7) -> (10, 8) -> (1, 9) -> (4, 10)"
44,107.60000228881837,163.0,55.399997711181626,"(2, 1) -> (8, 2) -> (10, 3) -> (5, 4) -> (1, 5) -> (3, 6) -> (9, 7) -> (7, 8) -> (6, 9) -> (4, 10)","(8, 1) -> (3, 2) -> (1, 3) -> (7, 4) -> (4, 5) -> (9, 6) -> (10, 7) -> (5, 8) -> (2, 9) -> (6, 10)"
9,107.30000019073486,136.0,28.699999809265137,"(2, 1) -> (8, 2) -> (10, 3) -> (5, 4) -> (1, 5) -> (3, 6) -> (9, 7) -> (7, 8) -> (6, 9) -> (4, 10)","(7, 1) -> (9, 2) -> (4, 3) -> (5, 4) -> (10, 5) -> (1, 6) -> (3, 7) -> (6, 8) -> (8, 9) -> (2, 10)"
31,91.7999997138977,145.20001220703125,53.400012493133545,"(2, 1) -> (8, 2) -> (10, 3) -> (5, 4) -> (1, 5) -> (3, 6) -> (9, 7) -> (7, 8) -> (6, 9) -> (4, 10)","(7, 1) -> (5, 2) -> (8, 3) -> (6, 4) -> (9, 5) -> (10, 6) -> (2, 7) -> (1, 8) -> (4, 9) -> (3, 10)"
29,92.9999990463257,135.8000030517578,42.800004005432115,"(2, 1) -> (8, 2) -> (10, 3) -> (5, 4) -> (1, 5) -> (3, 6) -> (9, 7) -> (7, 8) -> (6, 9) -> (4, 10)","(7, 1) -> (9, 2) -> (1, 3) -> (3, 4) -> (2, 5) -> (4, 6) -> (8, 7) -> (5, 8) -> (10, 9) -> (6, 10)"
46,107.50000000000001,129.79998779296875,22.299987792968736,"(2, 1) -> (8, 2) -> (10, 3) -> (5, 4) -> (1, 5) -> (3, 6) -> (9, 7) -> (7, 8) -> (6, 9) -> (4, 10)","(4, 1) -> (3, 2) -> (8, 3) -> (5, 4) -> (9, 5) -> (10, 6) -> (1, 7) -> (7, 8) -> (6, 9) -> (2, 10)"
21,109.0999984741211,163.0,53.900001525878906,"(2, 1) -> (8, 2) -> (10, 3) -> (5, 4) -> (1, 5) -> (3, 6) -> (9, 7) -> (7, 8) -> (6, 9) -> (4, 10)","(5, 1) -> (3, 2) -> (4, 3) -> (1, 4) -> (9, 5) -> (2, 6) -> (6, 7) -> (10, 8) -> (8, 9) -> (7, 10)"
38,105.60000085830688,143.20001220703125,37.600011348724365,"(2, 1) -> (8, 2) -> (10, 3) -> (5, 4) -> (1, 5) -> (3, 6) -> (9, 7) -> (7, 8) -> (6, 9) -> (4, 10)","(7, 1) -> (10, 2) -> (9, 3) -> (8, 4) -> (3, 5) -> (1, 6) -> (2, 7) -> (5, 8) -> (6, 9) -> (4, 10)"
24,97.49999856948853,133.60000610351562,36.1000075340271,"(2, 1) -> (8, 2) -> (10, 3) -> (5, 4) -> (1, 5) -> (3, 6) -> (9, 7) -> (7, 8) -> (6, 9) -> (4, 10)","(8, 1) -> (9, 2) -> (6, 3) -> (5, 4) -> (3, 5) -> (7, 6) -> (1, 7) -> (10, 8) -> (4, 9) -> (2, 10)"
8,99.800000667572,156.89999389648438,57.09999322891238,"(2, 1) -> (8, 2) -> (10, 3) -> (5, 4) -> (1, 5) -> (3, 6) -> (9, 7) -> (7, 8) -> (6, 9) -> (4, 10)","(7, 1) -> (10, 2) -> (5, 3) -> (2, 4) -> (9, 5) -> (1, 6) -> (8, 7) -> (3, 8) -> (4, 9) -> (6, 10)"
17,102.40000057220459,138.79998779296875,36.39998722076416,"(2, 1) -> (8, 2) -> (10, 3) -> (5, 4) -> (1, 5) -> (3, 6) -> (9, 7) -> (7, 8) -> (6, 9) -> (4, 10)","(8, 1) -> (5, 2) -> (2, 3) -> (9, 4) -> (6, 5) -> (7, 6) -> (4, 7) -> (3, 8) -> (10, 9) -> (1, 10)"
37,91.30000066757202,134.70001220703125,43.40001153945923,"(2, 1) -> (8, 2) -> (10, 3) -> (5, 4) -> (1, 5) -> (3, 6) -> (9, 7) -> (7, 8) -> (6, 9) -> (4, 10)","(2, 1) -> (7, 2) -> (4, 3) -> (5, 4) -> (9, 5) -> (1, 6) -> (3, 7) -> (10, 8) -> (8, 9) -> (6, 10)"
1,100.70000171661376,140.10000610351562,39.40000438690187,"(2, 1) -> (8, 2) -> (10, 3) -> (5, 4) -> (1, 5) -> (3, 6) -> (9, 7) -> (7, 8) -> (6, 9) -> (4, 10)","(10, 1) -> (7, 2) -> (6, 3) -> (1, 4) -> (2, 5) -> (5, 6) -> (4, 7) -> (9, 8) -> (3, 9) -> (8, 10)"
22,99.70000076293945,136.39999389648438,36.69999313354492,"(2, 1) -> (8, 2) -> (10, 3) -> (5, 4) -> (1, 5) -> (3, 6) -> (9, 7) -> (7, 8) -> (6, 9) -> (4, 10)","(5, 1) -> (3, 2) -> (1, 3) -> (7, 4) -> (4, 5) -> (8, 6) -> (9, 7) -> (10, 8) -> (6, 9) -> (2, 10)"
47,108.29999923706055,156.1999969482422,47.89999771118164,"(2, 1) -> (8, 2) -> (10, 3) -> (5, 4) -> (1, 5) -> (3, 6) -> (9, 7) -> (7, 8) -> (6, 9) -> (4, 10)","(6, 1) -> (9, 2) -> (1, 3) -> (10, 4) -> (4, 5) -> (5, 6) -> (8, 7) -> (2, 8) -> (3, 9) -> (7, 10)"
14,99.0,145.3000030517578,46.30000305175781,"(2, 1) -> (8, 2) -> (10, 3) -> (5, 4) -> (1, 5) -> (3, 6) -> (9, 7) -> (7, 8) -> (6, 9) -> (4, 10)","(9, 1) -> (7, 2) -> (1, 3) -> (2, 4) -> (6, 5) -> (10, 6) -> (5, 7) -> (4, 8) -> (8, 9) -> (3, 10)"
3,110.09999990463257,149.3000030517578,39.200003147125244,"(2, 1) -> (8, 2) -> (10, 3) -> (5, 4) -> (1, 5) -> (3, 6) -> (9, 7) -> (7, 8) -> (6, 9) -> (4, 10)","(6, 1) -> (1, 2) -> (8, 3) -> (9, 4) -> (3, 5) -> (7, 6) -> (10, 7) -> (4, 8) -> (2, 9) -> (5, 10)"
33,97.40000009536743,136.20001220703125,38.80001211166382,"(2, 1) -> (8, 2) -> (10, 3) -> (5, 4) -> (1, 5) -> (3, 6) -> (9, 7) -> (7, 8) -> (6, 9) -> (4, 10)","(7, 1) -> (5, 2) -> (4, 3) -> (9, 4) -> (1, 5) -> (8, 6) -> (6, 7) -> (10, 8) -> (2, 9) -> (3, 10)"
40,111.60000085830688,163.20001220703125,51.600011348724365,"(2, 1) -> (8, 2) -> (10, 3) -> (5, 4) -> (1, 5) -> (3, 6) -> (9, 7) -> (7, 8) -> (6, 9) -> (4, 10)","(6, 1) -> (7, 2) -> (1, 3) -> (8, 4) -> (4, 5) -> (10, 6) -> (5, 7) -> (9, 8) -> (3, 9) -> (2, 10)"
48,96.40000057220462,153.70001220703125,57.30001163482663,"(2, 1) -> (8, 2) -> (10, 3) -> (5, 4) -> (1, 5) -> (3, 6) -> (9, 7) -> (7, 8) -> (6, 9) -> (4, 10)","(5, 1) -> (6, 2) -> (2, 3) -> (1, 4) -> (7, 5) -> (8, 6) -> (3, 7) -> (10, 8) -> (4, 9) -> (9, 10)"
15,101.90000057220459,158.39999389648438,56.499993324279785,"(2, 1) -> (8, 2) -> (10, 3) -> (5, 4) -> (1, 5) -> (3, 6) -> (9, 7) -> (7, 8) -> (6, 9) -> (4, 10)","(6, 1) -> (9, 2) -> (1, 3) -> (3, 4) -> (8, 5) -> (10, 6) -> (5, 7) -> (4, 8) -> (7, 9) -> (2, 10)"
