Difference,OptimalTour,GraphID,PredictedTour,TrueCost,PredictedCost
60.70000219345093,"(6, 1) -> (9, 2) -> (2, 3) -> (8, 4) -> (7, 5) -> (5, 6) -> (4, 7) -> (3, 8) -> (10, 9) -> (1, 10)",23,"(2, 1) -> (8, 2) -> (5, 3) -> (9, 4) -> (1, 5) -> (10, 6) -> (6, 7) -> (7, 8) -> (3, 9) -> (4, 10)",100.10000085830688,160.8
39.19998216629028,"(6, 1) -> (1, 2) -> (10, 3) -> (7, 4) -> (9, 5) -> (5, 6) -> (2, 7) -> (4, 8) -> (3, 9) -> (8, 10)",41,"(2, 1) -> (8, 2) -> (5, 3) -> (9, 4) -> (1, 5) -> (10, 6) -> (6, 7) -> (7, 8) -> (3, 9) -> (4, 10)",106.49999952316284,145.69998
32.600005149841294,"(9, 1) -> (5, 2) -> (2, 3) -> (3, 4) -> (7, 5) -> (8, 6) -> (6, 7) -> (10, 8) -> (4, 9) -> (1, 10)",43,"(2, 1) -> (8, 2) -> (5, 3) -> (9, 4) -> (1, 5) -> (10, 6) -> (6, 7) -> (7, 8) -> (3, 9) -> (4, 10)",92.59999942779542,125.200005
31.399986267089844,"(10, 1) -> (8, 2) -> (1, 3) -> (3, 4) -> (4, 5) -> (7, 6) -> (9, 7) -> (6, 8) -> (5, 9) -> (2, 10)",11,"(2, 1) -> (8, 2) -> (5, 3) -> (9, 4) -> (1, 5) -> (10, 6) -> (6, 7) -> (7, 8) -> (3, 9) -> (4, 10)",106.4000015258789,137.79999
56.59998798370361,"(3, 1) -> (7, 2) -> (10, 3) -> (6, 4) -> (4, 5) -> (9, 6) -> (5, 7) -> (1, 8) -> (8, 9) -> (2, 10)",36,"(2, 1) -> (8, 2) -> (5, 3) -> (9, 4) -> (1, 5) -> (10, 6) -> (6, 7) -> (7, 8) -> (3, 9) -> (4, 10)",106.19999980926514,162.79999
43.79999828338623,"(9, 1) -> (3, 2) -> (1, 3) -> (5, 4) -> (7, 5) -> (4, 6) -> (2, 7) -> (6, 8) -> (10, 9) -> (8, 10)",39,"(2, 1) -> (8, 2) -> (5, 3) -> (9, 4) -> (1, 5) -> (10, 6) -> (6, 7) -> (7, 8) -> (3, 9) -> (4, 10)",100.39999866485596,144.2
36.19999933242798,"(6, 1) -> (9, 2) -> (1, 3) -> (7, 4) -> (10, 5) -> (4, 6) -> (2, 7) -> (5, 8) -> (8, 9) -> (3, 10)",7,"(2, 1) -> (8, 2) -> (5, 3) -> (9, 4) -> (1, 5) -> (10, 6) -> (6, 7) -> (7, 8) -> (3, 9) -> (4, 10)",103.30000066757202,139.5
20.299999713897705,"(7, 1) -> (3, 2) -> (8, 3) -> (5, 4) -> (6, 5) -> (2, 6) -> (4, 7) -> (9, 8) -> (10, 9) -> (1, 10)",25,"(2, 1) -> (8, 2) -> (5, 3) -> (9, 4) -> (1, 5) -> (10, 6) -> (6, 7) -> (7, 8) -> (3, 9) -> (4, 10)",108.7000002861023,129.0
29.800008296966553,"(5, 1) -> (8, 2) -> (6, 3) -> (9, 4) -> (10, 5) -> (1, 6) -> (3, 7) -> (4, 8) -> (7, 9) -> (2, 10)",34,"(2, 1) -> (8, 2) -> (5, 3) -> (9, 4) -> (1, 5) -> (10, 6) -> (6, 7) -> (7, 8) -> (3, 9) -> (4, 10)",91.60000085830688,121.40001
45.399998664856,"(5, 1) -> (7, 2) -> (10, 3) -> (6, 4) -> (9, 5) -> (2, 6) -> (1, 7) -> (4, 8) -> (3, 9) -> (8, 10)",50,"(2, 1) -> (8, 2) -> (5, 3) -> (9, 4) -> (1, 5) -> (10, 6) -> (6, 7) -> (7, 8) -> (3, 9) -> (4, 10)",96.100001335144,141.5
52.900015354156494,"(6, 1) -> (4, 2) -> (2, 3) -> (10, 4) -> (3, 5) -> (5, 6) -> (8, 7) -> (9, 8) -> (1, 9) -> (7, 10)",2,"(2, 1) -> (8, 2) -> (5, 3) -> (9, 4) -> (1, 5) -> (10, 6) -> (6, 7) -> (7, 8) -> (3, 9) -> (4, 10)",98.59999990463257,151.50002
35.600003719329834,"(6, 1) -> (5, 2) -> (4, 3) -> (7, 4) -> (9, 5) -> (10, 6) -> (8, 7) -> (1, 8) -> (3, 9) -> (2, 10)",10,"(2, 1) -> (8, 2) -> (5, 3) -> (9, 4) -> (1, 5) -> (10, 6) -> (6, 7) -> (7, 8) -> (3, 9) -> (4, 10)",96.69999933242798,132.3
34.500003814697266,"(6, 1) -> (5, 2) -> (7, 3) -> (1, 4) -> (9, 5) -> (2, 6) -> (4, 7) -> (3, 8) -> (10, 9) -> (8, 10)",18,"(2, 1) -> (8, 2) -> (5, 3) -> (9, 4) -> (1, 5) -> (10, 6) -> (6, 7) -> (7, 8) -> (3, 9) -> (4, 10)",93.20000076293945,127.700005
31.600005626678467,"(6, 1) -> (5, 2) -> (8, 3) -> (9, 4) -> (3, 5) -> (10, 6) -> (1, 7) -> (7, 8) -> (2, 9) -> (4, 10)",26,"(2, 1) -> (8, 2) -> (5, 3) -> (9, 4) -> (1, 5) -> (10, 6) -> (6, 7) -> (7, 8) -> (3, 9) -> (4, 10)",92.00000047683716,123.600006
30.900006771087646,"(10, 1) -> (8, 2) -> (7, 3) -> (6, 4) -> (2, 5) -> (3, 6) -> (9, 7) -> (4, 8) -> (1, 9) -> (5, 10)",27,"(2, 1) -> (8, 2) -> (5, 3) -> (9, 4) -> (1, 5) -> (10, 6) -> (6, 7) -> (7, 8) -> (3, 9) -> (4, 10)",102.69999933242798,133.6
37.399996280670166,"(8, 1) -> (5, 2) -> (7, 3) -> (3, 4) -> (1, 5) -> (10, 6) -> (6, 7) -> (4, 8) -> (2, 9) -> (9, 10)",42,"(2, 1) -> (8, 2) -> (5, 3) -> (9, 4) -> (1, 5) -> (10, 6) -> (6, 7) -> (7, 8) -> (3, 9) -> (4, 10)",94.30000066757202,131.7
56.099989414215074,"(10, 1) -> (7, 2) -> (8, 3) -> (5, 4) -> (6, 5) -> (3, 6) -> (1, 7) -> (2, 8) -> (4, 9) -> (9, 10)",16,"(2, 1) -> (8, 2) -> (5, 3) -> (9, 4) -> (1, 5) -> (10, 6) -> (6, 7) -> (7, 8) -> (3, 9) -> (4, 10)",101.50000143051149,157.59999
67.60000801086426,"(4, 1) -> (1, 2) -> (8, 3) -> (3, 4) -> (10, 5) -> (5, 6) -> (2, 7) -> (6, 8) -> (7, 9) -> (9, 10)",20,"(2, 1) -> (8, 2) -> (5, 3) -> (9, 4) -> (1, 5) -> (10, 6) -> (6, 7) -> (7, 8) -> (3, 9) -> (4, 10)",104.80000114440918,172.40001
46.50000286102296,"(7, 1) -> (5, 2) -> (4, 3) -> (2, 4) -> (1, 5) -> (8, 6) -> (9, 7) -> (3, 8) -> (10, 9) -> (6, 10)",19,"(2, 1) -> (8, 2) -> (5, 3) -> (9, 4) -> (1, 5) -> (10, 6) -> (6, 7) -> (7, 8) -> (3, 9) -> (4, 10)",99.80000019073485,146.3
57.49999666213991,"(5, 1) -> (7, 2) -> (6, 3) -> (3, 4) -> (8, 5) -> (2, 6) -> (9, 7) -> (10, 8) -> (1, 9) -> (4, 10)",49,"(2, 1) -> (8, 2) -> (5, 3) -> (9, 4) -> (1, 5) -> (10, 6) -> (6, 7) -> (7, 8) -> (3, 9) -> (4, 10)",90.70000028610228,148.2
58.399997711181626,"(8, 1) -> (3, 2) -> (1, 3) -> (7, 4) -> (4, 5) -> (9, 6) -> (10, 7) -> (5, 8) -> (2, 9) -> (6, 10)",44,"(2, 1) -> (8, 2) -> (5, 3) -> (9, 4) -> (1, 5) -> (10, 6) -> (6, 7) -> (7, 8) -> (3, 9) -> (4, 10)",107.60000228881837,166.0
46.69999980926514,"(7, 1) -> (9, 2) -> (4, 3) -> (5, 4) -> (10, 5) -> (1, 6) -> (3, 7) -> (6, 8) -> (8, 9) -> (2, 10)",9,"(2, 1) -> (8, 2) -> (5, 3) -> (9, 4) -> (1, 5) -> (10, 6) -> (6, 7) -> (7, 8) -> (3, 9) -> (4, 10)",107.30000019073486,154.0
45.10000944137573,"(7, 1) -> (5, 2) -> (8, 3) -> (6, 4) -> (9, 5) -> (10, 6) -> (2, 7) -> (1, 8) -> (4, 9) -> (3, 10)",31,"(2, 1) -> (8, 2) -> (5, 3) -> (9, 4) -> (1, 5) -> (10, 6) -> (6, 7) -> (7, 8) -> (3, 9) -> (4, 10)",91.7999997138977,136.90001
67.70001316070555,"(7, 1) -> (9, 2) -> (1, 3) -> (3, 4) -> (2, 5) -> (4, 6) -> (8, 7) -> (5, 8) -> (10, 9) -> (6, 10)",29,"(2, 1) -> (8, 2) -> (5, 3) -> (9, 4) -> (1, 5) -> (10, 6) -> (6, 7) -> (7, 8) -> (3, 9) -> (4, 10)",92.9999990463257,160.70001
29.999999999999986,"(4, 1) -> (3, 2) -> (8, 3) -> (5, 4) -> (9, 5) -> (10, 6) -> (1, 7) -> (7, 8) -> (6, 9) -> (2, 10)",46,"(2, 1) -> (8, 2) -> (5, 3) -> (9, 4) -> (1, 5) -> (10, 6) -> (6, 7) -> (7, 8) -> (3, 9) -> (4, 10)",107.50000000000001,137.5
38.70000457763672,"(5, 1) -> (3, 2) -> (4, 3) -> (1, 4) -> (9, 5) -> (2, 6) -> (6, 7) -> (10, 8) -> (8, 9) -> (7, 10)",21,"(2, 1) -> (8, 2) -> (5, 3) -> (9, 4) -> (1, 5) -> (10, 6) -> (6, 7) -> (7, 8) -> (3, 9) -> (4, 10)",109.0999984741211,147.8
49.600011348724365,"(7, 1) -> (10, 2) -> (9, 3) -> (8, 4) -> (3, 5) -> (1, 6) -> (2, 7) -> (5, 8) -> (6, 9) -> (4, 10)",38,"(2, 1) -> (8, 2) -> (5, 3) -> (9, 4) -> (1, 5) -> (10, 6) -> (6, 7) -> (7, 8) -> (3, 9) -> (4, 10)",105.60000085830688,155.20001
51.19999837875366,"(8, 1) -> (9, 2) -> (6, 3) -> (5, 4) -> (3, 5) -> (7, 6) -> (1, 7) -> (10, 8) -> (4, 9) -> (2, 10)",24,"(2, 1) -> (8, 2) -> (5, 3) -> (9, 4) -> (1, 5) -> (10, 6) -> (6, 7) -> (7, 8) -> (3, 9) -> (4, 10)",97.49999856948853,148.7
52.899996280670194,"(7, 1) -> (10, 2) -> (5, 3) -> (2, 4) -> (9, 5) -> (1, 6) -> (8, 7) -> (3, 8) -> (4, 9) -> (6, 10)",8,"(2, 1) -> (8, 2) -> (5, 3) -> (9, 4) -> (1, 5) -> (10, 6) -> (6, 7) -> (7, 8) -> (3, 9) -> (4, 10)",99.800000667572,152.7
50.40000247955322,"(8, 1) -> (5, 2) -> (2, 3) -> (9, 4) -> (6, 5) -> (7, 6) -> (4, 7) -> (3, 8) -> (10, 9) -> (1, 10)",17,"(2, 1) -> (8, 2) -> (5, 3) -> (9, 4) -> (1, 5) -> (10, 6) -> (6, 7) -> (7, 8) -> (3, 9) -> (4, 10)",102.40000057220459,152.8
47.00000238418579,"(2, 1) -> (7, 2) -> (4, 3) -> (5, 4) -> (9, 5) -> (1, 6) -> (3, 7) -> (10, 8) -> (8, 9) -> (6, 10)",37,"(2, 1) -> (8, 2) -> (5, 3) -> (9, 4) -> (1, 5) -> (10, 6) -> (6, 7) -> (7, 8) -> (3, 9) -> (4, 10)",91.30000066757202,138.3
35.49999523162843,"(10, 1) -> (7, 2) -> (6, 3) -> (1, 4) -> (2, 5) -> (5, 6) -> (4, 7) -> (9, 8) -> (3, 9) -> (8, 10)",1,"(2, 1) -> (8, 2) -> (5, 3) -> (9, 4) -> (1, 5) -> (10, 6) -> (6, 7) -> (7, 8) -> (3, 9) -> (4, 10)",100.70000171661376,136.2
51.69999313354492,"(5, 1) -> (3, 2) -> (1, 3) -> (7, 4) -> (4, 5) -> (8, 6) -> (9, 7) -> (10, 8) -> (6, 9) -> (2, 10)",22,"(2, 1) -> (8, 2) -> (5, 3) -> (9, 4) -> (1, 5) -> (10, 6) -> (6, 7) -> (7, 8) -> (3, 9) -> (4, 10)",99.70000076293945,151.4
51.500003814697266,"(6, 1) -> (9, 2) -> (1, 3) -> (10, 4) -> (4, 5) -> (5, 6) -> (8, 7) -> (2, 8) -> (3, 9) -> (7, 10)",47,"(2, 1) -> (8, 2) -> (5, 3) -> (9, 4) -> (1, 5) -> (10, 6) -> (6, 7) -> (7, 8) -> (3, 9) -> (4, 10)",108.29999923706055,159.8
47.99998474121094,"(9, 1) -> (7, 2) -> (1, 3) -> (2, 4) -> (6, 5) -> (10, 6) -> (5, 7) -> (4, 8) -> (8, 9) -> (3, 10)",14,"(2, 1) -> (8, 2) -> (5, 3) -> (9, 4) -> (1, 5) -> (10, 6) -> (6, 7) -> (7, 8) -> (3, 9) -> (4, 10)",99.0,146.99998
43.09999704360962,"(6, 1) -> (1, 2) -> (8, 3) -> (9, 4) -> (3, 5) -> (7, 6) -> (10, 7) -> (4, 8) -> (2, 9) -> (5, 10)",3,"(2, 1) -> (8, 2) -> (5, 3) -> (9, 4) -> (1, 5) -> (10, 6) -> (6, 7) -> (7, 8) -> (3, 9) -> (4, 10)",110.09999990463257,153.2
44.20000600814819,"(7, 1) -> (5, 2) -> (4, 3) -> (9, 4) -> (1, 5) -> (8, 6) -> (6, 7) -> (10, 8) -> (2, 9) -> (3, 10)",33,"(2, 1) -> (8, 2) -> (5, 3) -> (9, 4) -> (1, 5) -> (10, 6) -> (6, 7) -> (7, 8) -> (3, 9) -> (4, 10)",97.40000009536743,141.6
37.5999960899353,"(6, 1) -> (7, 2) -> (1, 3) -> (8, 4) -> (4, 5) -> (10, 6) -> (5, 7) -> (9, 8) -> (3, 9) -> (2, 10)",40,"(2, 1) -> (8, 2) -> (5, 3) -> (9, 4) -> (1, 5) -> (10, 6) -> (6, 7) -> (7, 8) -> (3, 9) -> (4, 10)",111.60000085830688,149.2
58.199990272521944,"(5, 1) -> (6, 2) -> (2, 3) -> (1, 4) -> (7, 5) -> (8, 6) -> (3, 7) -> (10, 8) -> (4, 9) -> (9, 10)",48,"(2, 1) -> (8, 2) -> (5, 3) -> (9, 4) -> (1, 5) -> (10, 6) -> (6, 7) -> (7, 8) -> (3, 9) -> (4, 10)",96.40000057220462,154.59999
43.499993324279785,"(6, 1) -> (9, 2) -> (1, 3) -> (3, 4) -> (8, 5) -> (10, 6) -> (5, 7) -> (4, 8) -> (7, 9) -> (2, 10)",15,"(2, 1) -> (8, 2) -> (5, 3) -> (9, 4) -> (1, 5) -> (10, 6) -> (6, 7) -> (7, 8) -> (3, 9) -> (4, 10)",101.90000057220459,145.4
